t,v,w
0.000000, 2.333744, 4.001307
0.010000, 1.917329, 3.997441
0.020000, 1.601970, 3.990030
0.030000, 1.334224, 3.979803
0.040000, 1.088191, 3.967115
0.050000, 0.848315, 3.952119
0.060000, 0.603464, 3.934837
0.070000, 0.344648, 3.915191
0.080000, 0.064446, 3.893022
0.090000, -0.242200, 3.868110
0.100000, -0.575704, 3.840205
0.110000, -0.928397, 3.809095
0.120000, -1.281954, 3.774696
0.130000, -1.609731, 3.737155
0.140000, -1.886045, 3.696887
0.150000, -2.097032, 3.654509
0.160000, -2.244180, 3.610691
0.170000, -2.339185, 3.566028
0.180000, -2.396501, 3.520975
0.190000, -2.428661, 3.475845
0.200000, -2.444838, 3.430840
0.210000, -2.451151, 3.386086
0.220000, -2.451475, 3.341658
0.230000, -2.448194, 3.297601
0.240000, -2.442751, 3.253939
0.250000, -2.436015, 3.210686
0.260000, -2.428505, 3.167849
0.270000, -2.420534, 3.125431
0.280000, -2.412287, 3.083431
0.290000, -2.403878, 3.041849
0.300000, -2.395375, 3.000683
0.310000, -2.386818, 2.959930
0.320000, -2.378233, 2.919587
0.330000, -2.369635, 2.879651
0.340000, -2.361032, 2.840119
0.350000, -2.352432, 2.800987
0.360000, -2.343836, 2.762253
0.370000, -2.335248, 2.723913
0.380000, -2.326668, 2.685965
0.390000, -2.318098, 2.648403
0.400000, -2.309537, 2.611227
0.410000, -2.300985, 2.574432
0.420000, -2.292444, 2.538015
0.430000, -2.283912, 2.501974
0.440000, -2.275390, 2.466305
0.450000, -2.266877, 2.431004
0.460000, -2.258374, 2.396070
0.470000, -2.249880, 2.361499
0.480000, -2.241396, 2.327287
0.490000, -2.232920, 2.293433
0.500000, -2.224454, 2.259933
0.510000, -2.215996, 2.226784
0.520000, -2.207546, 2.193984
0.530000, -2.199105, 2.161529
0.540000, -2.190672, 2.129416
0.550000, -2.182247, 2.097644
0.560000, -2.173830, 2.066208
0.570000, -2.165420, 2.035107
0.580000, -2.157018, 2.004337
0.590000, -2.148623, 1.973896
0.600000, -2.140235, 1.943781
0.610000, -2.131855, 1.913990
0.620000, -2.123480, 1.884519
0.630000, -2.115112, 1.855367
0.640000, -2.106751, 1.826530
0.650000, -2.098395, 1.798007
0.660000, -2.090045, 1.769794
0.670000, -2.081701, 1.741888
0.680000, -2.073362, 1.714288
0.690000, -2.065029, 1.686992
0.700000, -2.056700, 1.659995
0.710000, -2.048376, 1.633297
0.720000, -2.040057, 1.606894
0.730000, -2.031741, 1.580785
0.740000, -2.023430, 1.554966
0.750000, -2.015123, 1.529436
0.760000, -2.006819, 1.504192
0.770000, -1.998518, 1.479232
0.780000, -1.990220, 1.454553
0.790000, -1.981925, 1.430154
0.800000, -1.973632, 1.406031
0.810000, -1.965341, 1.382184
0.820000, -1.957053, 1.358609
0.830000, -1.948766, 1.335304
0.840000, -1.940480, 1.312268
0.850000, -1.932195, 1.289498
0.860000, -1.923911, 1.266991
0.870000, -1.915627, 1.244747
0.880000, -1.907343, 1.222762
0.890000, -1.899059, 1.201035
0.900000, -1.890774, 1.179564
0.910000, -1.882488, 1.158346
0.920000, -1.874201, 1.137380
0.930000, -1.865913, 1.116663
0.940000, -1.857622, 1.096194
0.950000, -1.849329, 1.075971
0.960000, -1.841033, 1.055991
0.970000, -1.832733, 1.036254
0.980000, -1.824431, 1.016756
0.990000, -1.816124, 0.997496
1.000000, -1.807812, 0.978473
1.010000, -1.799496, 0.959684
1.020000, -1.791175, 0.941128
1.030000, -1.782847, 0.922802
1.040000, -1.774514, 0.904705
1.050000, -1.766173, 0.886836
1.060000, -1.757826, 0.869192
1.070000, -1.749470, 0.851772
1.080000, -1.741107, 0.834573
1.090000, -1.732734, 0.817596
1.100000, -1.724352, 0.800837
1.110000, -1.715960, 0.784295
1.120000, -1.707558, 0.767968
1.130000, -1.699144, 0.751856
1.140000, -1.690719, 0.735955
1.150000, -1.682281, 0.720265
1.160000, -1.673830, 0.704785
1.170000, -1.665365, 0.689512
1.180000, -1.656885, 0.674445
1.190000, -1.648391, 0.659582
1.200000, -1.639880, 0.644923
1.210000, -1.631353, 0.630466
1.220000, -1.622808, 0.616208
1.230000, -1.614244, 0.602150
1.240000, -1.605661, 0.588288
1.250000, -1.597058, 0.574623
1.260000, -1.588434, 0.561153
1.270000, -1.579788, 0.547876
1.280000, -1.571118, 0.534791
1.290000, -1.562425, 0.521896
1.300000, -1.553706, 0.509191
1.310000, -1.544960, 0.496675
1.320000, -1.536188, 0.484345
1.330000, -1.527386, 0.472201
1.340000, -1.518555, 0.460242
1.350000, -1.509692, 0.448466
1.360000, -1.500796, 0.436872
1.370000, -1.491866, 0.425459
1.380000, -1.482901, 0.414227
1.390000, -1.473899, 0.403173
1.400000, -1.464857, 0.392298
1.410000, -1.455776, 0.381599
1.420000, -1.446652, 0.371076
1.430000, -1.437484, 0.360729
1.440000, -1.428270, 0.350555
1.450000, -1.419008, 0.340554
1.460000, -1.409695, 0.330726
1.470000, -1.400331, 0.321068
1.480000, -1.390911, 0.311582
1.490000, -1.381435, 0.302264
1.500000, -1.371898, 0.293116
1.510000, -1.362300, 0.284136
1.520000, -1.352635, 0.275324
1.530000, -1.342903, 0.266678
1.540000, -1.333099, 0.258199
1.550000, -1.323220, 0.249885
1.560000, -1.313263, 0.241736
1.570000, -1.303223, 0.233752
1.580000, -1.293097, 0.225931
1.590000, -1.282881, 0.218275
1.600000, -1.272571, 0.210781
1.610000, -1.262160, 0.203451
1.620000, -1.251646, 0.196283
1.630000, -1.241021, 0.189277
1.640000, -1.230281, 0.182434
1.650000, -1.219419, 0.175753
1.660000, -1.208429, 0.169233
1.670000, -1.197305, 0.162876
1.680000, -1.186037, 0.156681
1.690000, -1.174620, 0.150649
1.700000, -1.163044, 0.144779
1.710000, -1.151300, 0.139072
1.720000, -1.139379, 0.133528
1.730000, -1.127270, 0.128148
1.740000, -1.114961, 0.122932
1.750000, -1.102441, 0.117882
1.760000, -1.089696, 0.112998
1.770000, -1.076712, 0.108280
1.780000, -1.063473, 0.103731
1.790000, -1.049963, 0.099352
1.800000, -1.036163, 0.095143
1.810000, -1.022053, 0.091107
1.820000, -1.007612, 0.087245
1.830000, -0.992815, 0.083559
1.840000, -0.977637, 0.080052
1.850000, -0.962050, 0.076726
1.860000, -0.946021, 0.073585
1.870000, -0.929516, 0.070630
1.880000, -0.912496, 0.067865
1.890000, -0.894921, 0.065295
1.900000, -0.876741, 0.062924
1.910000, -0.857907, 0.060755
1.920000, -0.838358, 0.058795
1.930000, -0.818032, 0.057050
1.940000, -0.796855, 0.055524
1.950000, -0.774747, 0.054227
1.960000, -0.751616, 0.053164
1.970000, -0.727360, 0.052347
1.980000, -0.701862, 0.051783
1.990000, -0.674993, 0.051485
2.000000, -0.646603, 0.051464
2.010000, -0.616523, 0.051734
2.020000, -0.584563, 0.052311
2.030000, -0.550504, 0.053212
2.040000, -0.514096, 0.054457
2.050000, -0.475055, 0.056067
2.060000, -0.433058, 0.058067
2.070000, -0.387735, 0.060486
2.080000, -0.338667, 0.063356
2.090000, -0.285383, 0.066712
2.100000, -0.227351, 0.070595
2.110000, -0.163984, 0.075052
2.120000, -0.094643, 0.080133
2.130000, -0.018653, 0.085897
2.140000, 0.064674, 0.092408
2.150000, 0.155986, 0.099736
2.160000, 0.255822, 0.107958
2.170000, 0.364498, 0.117153
2.180000, 0.481968, 0.127400
2.190000, 0.607642, 0.138778
2.200000, 0.740210, 0.151352
2.210000, 0.877503, 0.165173
2.220000, 1.016480, 0.180262
2.230000, 1.153396, 0.196608
2.240000, 1.284190, 0.214161
2.250000, 1.405033, 0.232829
2.260000, 1.512879, 0.252490
2.270000, 1.605857, 0.272995
2.280000, 1.683384, 0.294186
2.290000, 1.746012, 0.315905
2.300000, 1.795096, 0.338005
2.310000, 1.832433, 0.360359
2.320000, 1.859948, 0.382855
2.330000, 1.879478, 0.405405
2.340000, 1.892653, 0.427937
2.350000, 1.900852, 0.450395
2.360000, 1.905195, 0.472736
2.370000, 1.906577, 0.494926
2.380000, 1.905697, 0.516941
2.390000, 1.903093, 0.538764
2.400000, 1.899178, 0.560379
2.410000, 1.894269, 0.581778
2.420000, 1.888604, 0.602954
2.430000, 1.882363, 0.623902
2.440000, 1.875685, 0.644618
2.450000, 1.868672, 0.665101
2.460000, 1.861403, 0.685350
2.470000, 1.853938, 0.705364
2.480000, 1.846321, 0.725143
2.490000, 1.838588, 0.744688
2.500000, 1.830764, 0.764000
2.510000, 1.822869, 0.783080
2.520000, 1.814918, 0.801928
2.530000, 1.806923, 0.820548
2.540000, 1.798892, 0.838939
2.550000, 1.790833, 0.857103
2.560000, 1.782750, 0.875042
2.570000, 1.774647, 0.892758
2.580000, 1.766527, 0.910252
2.590000, 1.758392, 0.927525
2.600000, 1.750244, 0.944580
2.610000, 1.742084, 0.961417
2.620000, 1.733913, 0.978039
2.630000, 1.725730, 0.994447
2.640000, 1.717538, 1.010643
2.650000, 1.709334, 1.026628
2.660000, 1.701121, 1.042404
2.670000, 1.692896, 1.057973
2.680000, 1.684661, 1.073335
2.690000, 1.676414, 1.088493
2.700000, 1.668156, 1.103448
2.710000, 1.659885, 1.118201
2.720000, 1.651602, 1.132755
2.730000, 1.643306, 1.147110
2.740000, 1.634996, 1.161268
2.750000, 1.626672, 1.175230
2.760000, 1.618333, 1.188998
2.770000, 1.609978, 1.202573
2.780000, 1.601606, 1.215957
2.790000, 1.593218, 1.229150
2.800000, 1.584811, 1.242155
2.810000, 1.576385, 1.254973
2.820000, 1.567940, 1.267604
2.830000, 1.559473, 1.280050
2.840000, 1.550986, 1.292313
2.850000, 1.542475, 1.304393
2.860000, 1.533941, 1.316293
2.870000, 1.525383, 1.328012
2.880000, 1.516799, 1.339552
2.890000, 1.508187, 1.350915
2.900000, 1.499548, 1.362102
2.910000, 1.490879, 1.373113
2.920000, 1.482180, 1.383950
2.930000, 1.473449, 1.394614
2.940000, 1.464685, 1.405106
2.950000, 1.455885, 1.415426
2.960000, 1.447049, 1.425577
2.970000, 1.438176, 1.435558
2.980000, 1.429262, 1.445372
2.990000, 1.420308, 1.455018
3.000000, 1.411310, 1.464498
3.010000, 1.402267, 1.473812
3.020000, 1.393177, 1.482962
3.030000, 1.384037, 1.491949
3.040000, 1.374846, 1.500772
3.050000, 1.365602, 1.509434
3.060000, 1.356301, 1.517934
3.070000, 1.346942, 1.526273
3.080000, 1.337521, 1.534452
3.090000, 1.328036, 1.542472
3.100000, 1.318484, 1.550334
3.110000, 1.308862, 1.558037
3.120000, 1.299166, 1.565583
3.130000, 1.289392, 1.572971
3.140000, 1.279538, 1.580203
3.150000, 1.269599, 1.587279
3.160000, 1.259571, 1.594199
3.170000, 1.249450, 1.600963
3.180000, 1.239231, 1.607572
3.190000, 1.228908, 1.614027
3.200000, 1.218477, 1.620326
3.210000, 1.207933, 1.626471
3.220000, 1.197268, 1.632461
3.230000, 1.186477, 1.638297
3.240000, 1.175552, 1.643978
3.250000, 1.164488, 1.649504
3.260000, 1.153274, 1.654876
3.270000, 1.141904, 1.660092
3.280000, 1.130368, 1.665152
3.290000, 1.118657, 1.670056
3.300000, 1.106760, 1.674804
3.310000, 1.094665, 1.679394
3.320000, 1.082361, 1.683827
3.330000, 1.069834, 1.688100
3.340000, 1.057071, 1.692214
3.350000, 1.044056, 1.696166
3.360000, 1.030772, 1.699956
3.370000, 1.017200, 1.703581
3.380000, 1.003322, 1.707042
3.390000, 0.989116, 1.710335
3.400000, 0.974557, 1.713458
3.410000, 0.959620, 1.716410
3.420000, 0.944277, 1.719187
3.430000, 0.928496, 1.721787
3.440000, 0.912242, 1.724207
3.450000, 0.895479, 1.726443
3.460000, 0.878164, 1.728492
3.470000, 0.860249, 1.730349
3.480000, 0.841685, 1.732010
3.490000, 0.822412, 1.733469
3.500000, 0.802368, 1.734721
3.510000, 0.781479, 1.735759
3.520000, 0.759666, 1.736576
3.530000, 0.736839, 1.737164
3.540000, 0.712895, 1.737515
3.550000, 0.687720, 1.737618
3.560000, 0.661185, 1.737463
3.570000, 0.633143, 1.737038
3.580000, 0.603427, 1.736329
3.590000, 0.571847, 1.735320
3.600000, 0.538189, 1.733995
3.610000, 0.502206, 1.732333
3.620000, 0.463620, 1.730314
3.630000, 0.422111, 1.727912
3.640000, 0.377317, 1.725099
3.650000, 0.328828, 1.721845
3.660000, 0.276180, 1.718114
3.670000, 0.218855, 1.713865
3.680000, 0.156279, 1.709053
3.690000, 0.087831, 1.703628
3.700000, 0.012852, 1.697532
3.710000, -0.069325, 1.690702
3.720000, -0.159329, 1.683070
3.730000, -0.257681, 1.674561
3.740000, -0.364691, 1.665097
3.750000, -0.480317, 1.654600
3.760000, -0.603996, 1.642993
3.770000, -0.734476, 1.630212
3.780000, -0.869683, 1.616208
3.790000, -1.006697, 1.600956
3.800000, -1.141910, 1.584468
3.810000, -1.271386, 1.566789
3.820000, -1.391374, 1.548006
3.830000, -1.498844, 1.528238
3.840000, -1.591876, 1.507628
3.850000, -1.669789, 1.486331
3.860000, -1.733020, 1.464501
3.870000, -1.782813, 1.442284
3.880000, -1.820880, 1.419808
3.890000, -1.849082, 1.397183
3.900000, -1.869224, 1.374498
3.910000, -1.882920, 1.351828
3.920000, -1.891543, 1.329227
3.930000, -1.896221, 1.306742
3.940000, -1.897857, 1.284405
3.950000, -1.897159, 1.262241
3.960000, -1.894678, 1.240271
3.970000, -1.890836, 1.218508
3.980000, -1.885958, 1.196961
3.990000, -1.880288, 1.175639
4.000000, -1.874015, 1.154546
4.010000, -1.867280, 1.133687
4.020000, -1.860192, 1.113062
4.030000, -1.852832, 1.092674
4.040000, -1.845261, 1.072523
4.050000, -1.837529, 1.052609
4.060000, -1.829670, 1.032931
4.070000, -1.821712, 1.013488
4.080000, -1.813676, 0.994280
4.090000, -1.805578, 0.975306
4.100000, -1.797431, 0.956563
4.110000, -1.789242, 0.938051
4.120000, -1.781021, 0.919769
4.130000, -1.772771, 0.901714
4.140000, -1.764498, 0.883886
4.150000, -1.756203, 0.866282
4.160000, -1.747891, 0.848901
4.170000, -1.739561, 0.831741
4.180000, -1.731215, 0.814801
4.190000, -1.722855, 0.798079
4.200000, -1.714480, 0.781574
4.210000, -1.706092, 0.765284
4.220000, -1.697689, 0.749207
4.230000, -1.689271, 0.733342
4.240000, -1.680840, 0.717688
4.250000, -1.672394, 0.702242
4.260000, -1.663932, 0.687003
4.270000, -1.655455, 0.671971
4.280000, -1.646962, 0.657142
4.290000, -1.638452, 0.642517
4.300000, -1.629925, 0.628093
4.310000, -1.621379, 0.613868
4.320000, -1.612814, 0.599843
4.330000, -1.604230, 0.586014
4.340000, -1.595625, 0.572381
4.350000, -1.586998, 0.558943
4.360000, -1.578349, 0.545698
4.370000, -1.569676, 0.532644
4.380000, -1.560979, 0.519782
4.390000, -1.552257, 0.507108
4.400000, -1.543508, 0.494622
4.410000, -1.534731, 0.482323
4.420000, -1.525925, 0.470210
4.430000, -1.517088, 0.458281
4.440000, -1.508220, 0.446535
4.450000, -1.499319, 0.434972
4.460000, -1.490384, 0.423589
4.470000, -1.481413, 0.412386
4.480000, -1.472404, 0.401362
4.490000, -1.463357, 0.390516
4.500000, -1.454268, 0.379847
4.510000, -1.445137, 0.369353
4.520000, -1.435962, 0.359034
4.530000, -1.426740, 0.348889
4.540000, -1.417470, 0.338917
4.550000, -1.408149, 0.329116
4.560000, -1.398776, 0.319487
4.570000, -1.389347, 0.310029
4.580000, -1.379861, 0.300740
4.590000, -1.370315, 0.291620
4.600000, -1.360705, 0.282667
4.610000, -1.351030, 0.273883
4.620000, -1.341286, 0.265264
4.630000, -1.331470, 0.256812
4.640000, -1.321578, 0.248526
4.650000, -1.311608, 0.240404
4.660000, -1.301554, 0.232447
4.670000, -1.291414, 0.224654
4.680000, -1.281183, 0.217024
4.690000, -1.270856, 0.209558
4.700000, -1.260429, 0.202254
4.710000, -1.249896, 0.195113
4.720000, -1.239253, 0.188134
4.730000, -1.228493, 0.181318
4.740000, -1.217610, 0.174663
4.750000, -1.206599, 0.168171
4.760000, -1.195451, 0.161841
4.770000, -1.184160, 0.155672
4.780000, -1.172717, 0.149667
4.790000, -1.161114, 0.143824
4.800000, -1.149341, 0.138143
4.810000, -1.137390, 0.132627
4.820000, -1.125248, 0.127274
4.830000, -1.112905, 0.122085
4.840000, -1.100349, 0.117063
